pix2pix, tv, bilat, wavelet
1236.91407653, 3522.66079072, 4520.10627024, 5018.15317813, 
984.298333592, 2940.58262711, 4064.51519965, 4894.31814595, 
1460.81051793, 6963.77854448, 7307.60788624, 7527.78705875, 
955.38994732, 7644.89908448, 7921.73327517, 7959.95183859, 
2158.03101504, 3035.68075902, 4242.04521264, 5153.03084284, 
1117.02534658, 7511.20195978, 7804.03659437, 7808.72902584, 
2121.82750191, 8682.08582731, 8783.63092219, 8910.61888157, 
1227.60736668, 2820.29965628, 4088.13549777, 4795.59523864, 
1551.2703849, 2422.6364914, 3925.48909637, 4631.42789456, 
1364.24287465, 3746.5305193, 4660.69390975, 5252.70445179, 
1338.24705581, 3310.9402142, 4370.54443146, 5094.65303559, 
1148.44276946, 6970.15285546, 7303.18499098, 7541.01985023, 
7978.57934641, 3175.9730817, 4264.29255953, 4976.70968213, 
738.656756757, 3605.69273939, 4530.8534115, 5227.80377309, 
2076.55492344, 6958.09189215, 7399.24269416, 7590.86069762, 
1035.83915944, 7859.37726975, 8104.05727199, 8183.9196696, 
1968.58461268, 3959.01434989, 4914.07101678, 5560.95571391, 
1713.35835936, 3033.15763947, 4169.41892917, 4769.00003273, 
1042.01272016, 3075.46691348, 4236.99834727, 4978.29197827, 
1072.86812644, 2597.03765421, 3809.45194312, 4546.38247631, 
3045.15664488, 6034.87043592, 6448.78785268, 6822.72080123, 
1493.04838822, 7259.87814321, 7674.62027904, 7838.58121251, 
653.906493506, 4071.869432, 4788.26859777, 5445.65301659, 
4275.89410094, 2798.84783232, 3883.30452931, 4696.79743334, 
1005.27450467, 7469.27426983, 7774.59260731, 7784.2081725, 
4303.57385621, 3624.43408596, 4602.81627854, 5264.79214505, 
1648.52351339, 5780.4618204, 6567.94682308, 7204.49528297, 
899.440722012, 2709.32492251, 3977.84907667, 4768.82206216, 
931.475984947, 2954.3032121, 4206.16772409, 4984.60461221, 
1552.90453465, 3407.06990904, 4476.92223203, 5159.1260401, 
8670.77990196, 3548.18947015, 4313.0612302, 5098.89424074, 
1190.75203819, 7662.8858297, 7941.66931269, 7948.45803009, 
1114.37965435, 6976.81961951, 7320.25249675, 7555.71134382, 
1222.30348364, 7366.61448556, 7777.71137078, 7906.08325263, 
815.392561983, 4395.26188402, 4976.06182935, 5549.55568596, 
947.53737037, 7484.24468058, 7779.08275906, 7787.5746284, 
1703.36162988, 4252.81868505, 4915.64373258, 5501.34292841, 
5885.01662433, 4176.29615102, 4925.78448504, 5535.39430303, 
2573.36733199, 5293.42027183, 5659.89593533, 6253.04058821, 
1872.15544431, 4892.40007108, 5391.20446002, 5948.42204156, 
1485.67748121, 7627.49103546, 7947.11391348, 8111.87123729, 
1609.8801364, 3775.08532412, 4657.63630543, 5325.64068785, 
1542.5488491, 3050.47361139, 4075.30566292, 4895.5664544, 
4549.24582786, 9834.5149494, 9876.47961511, 10020.7934716, 
2057.85620711, 6619.71361673, 6984.32624496, 7205.80084673, 
880.378148574, 3604.07145177, 4389.16556699, 5142.40443994, 
1968.59584972, 2689.28999204, 3990.37743366, 4759.37149549, 
1265.21071041, 7045.5514141, 7378.38390418, 7599.92614878, 
1855.44650724, 6970.03301368, 7419.45052588, 7604.46174491, 
1103.74124706, 7019.84839452, 7361.2820261, 7574.95983311, 
1778.41218116, 3764.91978586, 4580.68144517, 5289.06791158, 
1136.6230897, 7728.22309825, 7997.33302127, 8044.43306794, 
1203.02681611, 4351.32900559, 5040.75554064, 5694.6564028, 
1377.00230359, 3656.08888018, 4670.90005881, 5353.70150099, 
4121.68529032, 6843.61053618, 7001.15166173, 7281.70090915, 
896.996437407, 2592.59748472, 4059.35393192, 4749.31588166, 
1446.16740254, 3077.28073811, 4327.91974343, 5140.73224807, 
1018.33475, 7513.00074702, 7809.6414832, 7834.24370082, 
804.177489177, 6189.84980749, 6408.03650339, 6874.17245475, 
4248.75089715, 3139.63209209, 4133.92514211, 4951.32766816, 
2795.39821849, 8406.63930513, 8731.24685935, 8804.27597685, 
2121.83794245, 5084.45652569, 5671.99730393, 6065.06991264, 
984.721218487, 6146.57275102, 6527.02821834, 6913.01867835, 
1597.69146825, 6932.35501369, 7259.14520464, 7480.72919734, 
1806.81642512, 7190.4778831, 7499.18987225, 7713.46538384, 
935.680288958, 9799.89777433, 9923.17276669, 9957.99799582, 
2360.06450855, 2779.48300947, 3996.1107322, 4766.83665231, 
1970.80058338, 6320.50111398, 6740.57163985, 7016.46733111, 
4761.38848833, 3348.25295898, 4139.2500281, 5005.54000306, 
2274.24452275, 4830.71903523, 5311.94035819, 5897.2447628, 
1092.13470134, 7062.14251374, 7381.47406736, 7595.83010218, 
4406.38070728, 6445.83321499, 6876.94097094, 7096.16950297, 
2123.94405986, 7004.45502146, 7447.69099043, 7639.29127425, 
1118.54418131, 8680.14730625, 8778.75037323, 8905.85070195, 
2665.3802862, 2633.6082515, 3921.95273919, 4732.3944141, 
3385.82924837, 3364.45618227, 4303.17151801, 5045.80985147, 
2147.84176587, 7077.63272895, 7403.00297653, 7621.2992401, 
799.269873331, 3641.38127891, 4732.69201247, 5543.31028187, 
940.509560538, 7610.58859837, 7889.80281182, 7937.45059506, 
1458.169443, 4822.98240022, 5249.05680992, 5893.44955137, 
1566.17147252, 3381.3907576, 4427.62251815, 4920.17032291, 
1969.87567303, 7105.95516245, 7531.03259966, 7710.06177445, 
959.790196078, 4550.80735914, 5203.10079661, 5846.11518246, 
2073.21471888, 2825.26641902, 4062.54614275, 4904.73989643, 
739.544510859, 3810.90506533, 4611.52020197, 5335.03534213, 
4832.32736322, 4053.72322316, 4691.56727693, 5474.17138234, 
1663.19824017, 7831.07186703, 8101.92997103, 8241.30439074, 
1307.61890619, 6956.91267734, 7290.98946756, 7502.85867055, 
1871.6585396, 3460.33428132, 4456.90924232, 4931.04699997, 
2156.1606443, 5092.22291789, 5602.27766269, 5930.70780403, 
5375.04089862, 3566.87185385, 4422.69537918, 5257.57098926, 
2492.91675988, 2641.80310625, 3850.59148451, 4735.82088487, 
1504.11230937, 8089.89402821, 8342.64053458, 8449.52437163, 
2606.23912724, 5371.78098828, 5728.44923298, 6218.77286375, 
2247.44210302, 2788.51610003, 4005.92897028, 4803.82657066, 
3881.249519, 2759.60739399, 4158.36582724, 4910.12237919, 
1392.28784857, 6429.48972007, 6835.98291017, 7097.45191189, 
5101.69755739, 2484.89536068, 3878.2303451, 4671.63519276, 
1645.18793911, 2830.98976781, 4082.71374811, 4894.10121952, 
1004.76323459, 2855.23109009, 4043.3534696, 4871.3757453, 
1721.87730891, 3262.09722765, 4259.76743078, 5072.34380542, 
1936.10539896, 7020.63070307, 7357.37204189, 7571.41222067, 
1156.74926122, 5164.69736055, 5542.11671859, 6009.98584938, 
1336.19266055, 10162.2651511, 10305.845705, 10370.3760687, 
3000.4020712, 3314.10614879, 4413.1561947, 5256.08143326, 
2368.20647744, 5069.69676248, 5640.01983278, 6083.7285766, 
3218.87528537, 2886.69300707, 4188.78953885, 4950.02493077, 
1226.71273862, 7047.61959629, 7379.27383793, 7604.33116625, 
9009.96106577, 2658.55468294, 4042.44449311, 4767.22654928, 
1529.95779221, 7154.20484959, 7461.0431811, 7681.48282922, 
1153.84644309, 8436.83714497, 8635.38519625, 8661.09276526, 
2209.55702811, 2991.92029782, 4167.94535769, 4958.2134868, 
2731.10075415, 4112.61659011, 4952.80305088, 5584.68937257, 
1708.68184955, 7130.12299851, 7568.97831256, 7750.73179025, 
2449.71985786, 3625.54601373, 4457.09540212, 5136.07267327, 
2359.31927598, 4771.34538765, 5211.98713262, 5859.10379023, 
2704.42349206, 5083.99331118, 6163.43717865, 6853.07561077, 
2034.62892607, 3305.91272982, 4386.57967476, 5142.5689938, 
1805.99079284, 5071.71176223, 5705.78259998, 6216.10585138, 
998.603413655, 2599.12900579, 3800.51818529, 4697.55947779, 
1264.447597, 6377.76019182, 7032.08631385, 7306.42321212, 
1870.8630865, 6970.03301368, 7419.45052588, 7604.46174491, 
1997.78376525, 3590.74239851, 4470.95314098, 5134.42623998, 
1206.88358602, 6270.63465168, 6691.55004104, 6971.06974293, 
1455.95423138, 7016.14268371, 7364.01074763, 7575.34381186, 
3039.1351634, 4076.5847974, 4929.21324936, 5589.11842075, 
1426.16885007, 6983.55459836, 7428.89847173, 7606.01344513, 
1497.46549801, 6207.74629501, 6899.8826084, 7199.26912086, 
777.196223931, 7553.228821, 7849.48922574, 7866.71406131, 
1281.64288789, 7735.64361682, 8015.33228305, 8160.66577384, 
768.85688821, 3325.71513275, 4548.96275747, 5344.01815294, 
2344.60478737, 2753.60883434, 3959.22952549, 4758.57375649, 
2766.94292929, 3891.91447017, 4681.98034217, 5305.20088734, 
827.473630081, 2946.07733833, 4016.46088925, 4710.60914868, 
1286.59593883, 7044.81103085, 7390.03672812, 7601.28680152, 
1711.60543478, 5648.648782, 5977.9443841, 6395.94916611, 
3117.36954741, 6405.04457796, 6789.0633861, 7031.41830683, 
1218.94783282, 3629.56439203, 4747.55696919, 5461.824915, 
1156.26336097, 2779.42100832, 4068.78139821, 4832.03375124, 
2392.73906161, 6847.85049255, 6983.49929317, 7296.07500551, 
1071.55358527, 4049.3365468, 4753.6455519, 5345.01816495, 
1467.65856998, 3721.30417253, 4840.7849114, 5586.75979689, 
1000.02766841, 3141.82672103, 4139.54255131, 4918.82056376, 
959.979039892, 3498.66338867, 4511.30862694, 5315.26839724, 
7534.17984957, 5307.85690645, 5710.67114563, 6172.41836851, 
1103.89192998, 7013.39210639, 7338.33868641, 7548.89496123, 
3325.91469979, 5738.40773634, 6053.91694508, 6499.26918221, 
2023.02725668, 4012.80250092, 4782.54087293, 5448.58751708, 
1185.62821622, 7725.65464522, 8004.21927689, 8157.43685343, 
2220.12580816, 3088.06579816, 4279.97339347, 4998.53937473, 
3312.78956816, 3020.64292775, 4208.51821431, 4977.12927559, 
2331.86634921, 6606.45302398, 6974.83702774, 7188.88395406, 
971.342629482, 7544.14260951, 7832.86205464, 7845.43896754, 
1016.91608521, 2049.64370629, 3614.79695568, 4357.60040287, 
1118.19517256, 6985.98109452, 7323.78003697, 7548.17674974, 
1702.18546366, 7130.12299851, 7568.97831256, 7750.73179025, 
6841.34268227, 7890.12258003, 8125.94259931, 8316.70778171, 
990.678499872, 6079.60310448, 6477.86323288, 6838.27264757, 
3098.00309027, 7098.58013526, 7350.65454761, 7634.14204245, 
2219.20178047, 4155.15196074, 4953.04173082, 5571.23755782, 
3108.98957989, 3157.32203807, 4348.61624803, 5152.2172592, 
1604.6626419, 7333.06645617, 7829.47534947, 7966.50592966, 
1668.52752687, 3486.74162323, 4375.18727612, 5109.83935777, 
1294.2195071, 7366.61448556, 7777.71137078, 7906.08325263, 
769.578611872, 7466.72633007, 7765.58746016, 7770.15991909, 
2891.47322727, 3666.72676754, 4571.72286698, 5306.37889151, 
2445.87289003, 4153.61499408, 4918.75423025, 5647.69444391, 
1585.01260504, 3524.76852043, 4422.63896859, 5213.62595813, 
1555.02992736, 2764.51662994, 4076.78173405, 4863.9906013, 
8919.20198155, 5303.32256903, 5744.9524052, 6207.55542736, 
2913.05681115, 8117.95627054, 8395.78952232, 8517.51488524, 
