Porosity_percent	Permeability_log	Permeability_md	label	lithology
6.4	1.3	19.95	1	SS
5.5	0.71	5.13	1	SS
5.4	0.22	1.66	1	SS
3.5	0.03	1.07	1	SS
3.6	-0.18	0.66	1	SS
4.05	-0.4	0.4	1	SS
4.5	-0.48	0.33	1	SS
3.3	-0.57	0.27	1	SS
3.7	-0.61	0.25	1	SS
4.1	-0.85	0.14	1	SS
4	-0.96	0.11	1	SS
2.8	-0.71	0.19	1	SS
1.75	-0.7	0.2	1	SS
1.5	-0.5	0.32	1	SS
8	-0.31	0.49	1	SS
8.8	-0.61	0.25	1	SS
8.6	-0.55	0.28	1	SS
7.8	-0.61	0.25	1	SS
8.2	-0.69	0.21	1	SS
8.3	-0.63	0.23	1	SS
7.6	-0.8	0.16	1	SS
7.1	-0.82	0.15	1	SS
7	-0.77	0.17	1	SS
6.7	-0.8	0.16	1	SS
7.25	-0.96	0.11	1	SS
6.45	-0.95	0.11	1	SS
7.5	2.21	162.18	2	CBP
8.75	3.3	2000	2	CBP
4	3.3	2000	2	CBP
6.5	1.4	25.12	2	CBP
5.7	1.48	30.2	2	CBP
4.1	1.41	25.7	2	CBP
4.3	0.76	5.75	2	CBP
3.3	0.49	3.09	2	CBP
3.3	0.18	1.51	2	CBP
3.1	0.22	1.66	2	CBP
2.3	0.19	1.55	2	CBP
3.6	-0.02	0.95	2	CBP
2.2	-0.31	0.49	2	CBP
0.02	-0.13	0.74	2	CBP
0.9	-0.5	0.32	2	CBP
2.2	-0.54	0.29	2	CBP
3	-0.55	0.28	2	CBP
11.30	2.32	208.93	3	CU
11.55	3.30	2000.00	3	CU
8.80	1.91	81.28	3	CU
9.45	2.70	501.19	3	CU
9.20	2.76	575.44	3	CU
8.00	2.65	446.68	3	CU
7.25	2.17	147.91	3	CU
9.00	3.30	2000.00	3	CU
8.35	3.30	2000.00	3	CU
8.45	-0.60	0.25	3	CU
